,title,country,region,rank_display,score,url,faculty_tot,faculty_int,student_tot,student_int
37,Peking University,China,Asia,38.0,80.8,https://www.topuniversities.com/universities/peking-university#wurs,5185.0,1038.0,42136.0,7090.0
39,Fudan University,China,Asia,40.0,80.6,https://www.topuniversities.com/universities/fudan-university#wurs,4037.0,1178.0,29135.0,4680.0
40,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,41.0,80.4,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology#wurs,1250.0,147.0,9826.0,584.0
41,The University of Melbourne,Australia,Oceania,41.0,80.4,https://www.topuniversities.com/universities/university-melbourne#wurs,3311.0,1477.0,42182.0,18030.0
42,"Ecole normale supérieure, Paris",France,Europe,43.0,79.9,https://www.topuniversities.com/universities/ecole-normale-sup%C3%A9rieure-paris#wurs,178.0,75.0,1907.0,374.0
43,University of Bristol,United Kingdom,Europe,44.0,79.5,https://www.topuniversities.com/universities/university-bristol#wurs,2870.0,942.0,20630.0,5099.0
44,The University of New South Wales (UNSW Sydney),Australia,Oceania,45.0,78.9,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney#wurs,2924.0,1612.0,39784.0,14292.0
45,The Chinese University of Hong Kong (CUHK),Hong Kong,Asia,46.0,78.8,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk#wurs,2208.0,1074.0,18037.0,4824.0
46,The University of Queensland,Australia,Oceania,47.0,78.6,https://www.topuniversities.com/universities/university-queensland#wurs,3158.0,1870.0,37497.0,10420.0
47,Carnegie Mellon University,United States,North America,47.0,78.6,https://www.topuniversities.com/universities/carnegie-mellon-university#wurs,1342.0,425.0,13356.0,6385.0
48,City University of Hong Kong,Hong Kong,Asia,49.0,78.4,https://www.topuniversities.com/universities/city-university-hong-kong#wurs,1349.0,1027.0,9240.0,3273.0
49,The University of Sydney,Australia,Oceania,50.0,78.0,https://www.topuniversities.com/universities/university-sydney#wurs,3360.0,1829.0,46678.0,17030.0
50,University of British Columbia,Canada,North America,51.0,77.9,https://www.topuniversities.com/universities/university-british-columbia#wurs,4648.0,1635.0,50350.0,11388.0
51,New York University (NYU),United States,North America,52.0,77.3,https://www.topuniversities.com/universities/new-york-university-nyu#wurs,,,,
52,Brown University,United States,North America,53.0,76.5,https://www.topuniversities.com/universities/brown-university#wurs,1303.0,379.0,9251.0,1825.0
53,Delft University of Technology,Netherlands,Europe,54.0,76.1,https://www.topuniversities.com/universities/delft-university-technology#wurs,1669.0,701.0,16527.0,4634.0
54,University of Wisconsin-Madison,United States,North America,55.0,75.8,https://www.topuniversities.com/universities/university-wisconsin-madison#wurs,5722.0,1151.0,38985.0,4920.0
55,Tokyo Institute of Technology,Japan,Asia,56.0,74.8,https://www.topuniversities.com/universities/tokyo-institute-technology#wurs,1563.0,191.0,9832.0,1071.0
56,The University of Warwick,United Kingdom,Europe,57.0,74.4,https://www.topuniversities.com/universities/university-warwick#wurs,2093.0,890.0,19855.0,7703.0
57,University of Amsterdam,Netherlands,Europe,58.0,74.3,https://www.topuniversities.com/universities/university-amsterdam#wurs,2600.0,707.0,25967.0,3785.0
58,Ecole Polytechnique,France,Europe,59.0,74.0,https://www.topuniversities.com/universities/ecole-polytechnique#wurs,649.0,259.0,3126.0,924.0
